"","V1","session","num","rawTitles","real.title","dist","auth","tweet"
"84","￼Bart de Boer: LANGUAGE-BIOLOGY COEVOLUTION FIXATION TIMES",21,80,"language-biology coevolution fixation times","Language-biology coevolution fixation times",0,"de Boer","A mathematical model of the co-evolution of language and biology shows that biological adaptations to arbitrary culture can evolve"
"85","Catriona Silvey and Christos Christodoulopoulos: CHILDREN'S PRODUCTION OF DETERMINERS AS A TEST CASE FOR INNATE SYNTACTIC CATEGORIES",22,23,"children's production of determiners as a test case for innate syntactic categories","Children's production of determiners as a test case for innate syntactic categories",0,"Silvey, Christodoulopoulos","Children's determiner productions in the light of discourse: questioning support for innate syntactic categories"
"86","Erica Cartmill: LASTING IMPACTS OF THE CODE MODEL ON PRIMATE COMMUNICATION RESEARCH",22,170,"lasting impacts of the code model on primate communication research","Lasting impacts of the code model on primate communication research",0,"Cartmill",""
"87","Christine Cuskley, Bernardo Monechi, Pietro Gravino and Vittorio Loreto: THE EVOLUTION OF COLLABORATIVE STORIES",22,133,"the evolution of collaborative stories","The evolution of collaborative stories",0,"Cuskley, Monechi, Gravino, Loreto","How do stories evolve and what makes them successful? Using an experimental game to investigate the evolution of stories."
"88","￼Elizabeth Irvine and Sean Roberts: DEICTIC TOOLS CAN LIMIT THE EMERGENCE OF REFERENTIAL SYMBOL SYSTEMS",22,99,"deictic tools can limit the emergence of referential symbol systems","Deictic tools can limit the emergence of referential symbol systems",0,"Irvine, Roberts","Pointing & sequence organisation decreases need for symbols in co-operative tasks, symbols costly to set up so may emerge late"
"89","Christina Behme: EVOLUTION OF WHAT?",23,140,"evolution of what?","Evolution of what?",0,"Behme",""
"90","Nicolas Fay and Shane Rogers: STICK OR SWITCH: A SIMPLE SELECTION HEURISTIC MAY DRIVE ADAPTIVE LANGAUGE EVOLUTION",23,66,"stick or switch a simple selection heuristic may drive adaptive langauge evolution","Stick or switch: a simple selection heuristic may drive adaptive langauge evolution",1,"Fay, Rogers","Stick or Switch: A Simple Selection Heuristic Drives Adaptive Language Evolution"
"91","Igor Yanovich: GENETIC DRIFT EXPLAINS SAPIR'S ``DRIFT'' IN SEMANTIC CHANGE""",23,24,"genetic drift explains sapir's ``drift'' in semantic change""","Genetic drift explains sapir's ``drift'' in semantic change",1,"Yanovich","Why would separate genetically related languages show parallel changes (Sapir's drift)? Genetic drift from population genetics explains it!"
"92","￼￼Freek Van de Velde and Dirk Pijpops: ADDRESSEES USE ZIPF'S LAW AS A CUE FOR SEMANTICS",23,117,"addressees use zipf's law as a cue for semantics","Addressees use zipf's law as a cue for semantics",0,"Van de Velde, Pijpops","Zipf's size-meaning law benefits not only speakers but addressees as well."
"93","￼￼Olga Feher, Kenny Smith, Elizabeth Wonnacott and Nikolaus Ritt: COMMUNICATIVE INTERACTION LEADS TO THE ELIMINATION OF UNPREDICTABLE VARIATION",24,137,"communicative interaction leads to the elimination of unpredictable variation","Communicative interaction leads to the elimination of unpredictable variation",0,"Feher, Smith, Wonnacott, Ritt",""
"94","Bill Thompson, Marieke Schouwstra and Henriëtte de Swart: INTERPRETING SILENT GESTURE",24,94,"interpreting silent gesture","Interpreting silent gesture",0,"Thompson, Schouwstra, de Swart","Word order variability influences interpretation of verbs in silent gesture. Bayesian Inference explains how."
"95","Dan Dediu and Scott Moisik: ANATOMICAL BIASING OF CLICK LEARNING AND PRODUCTION: AN MRI AND 3D PALATE IMAGING STUDY",24,57,"anatomical biasing of click learning and production an mri and 3d palate imaging study","Anatomical biasing of click learning and production: an mri and 3d palate imaging study",1,"Dediu, Moisik",""
"96","￼￼Slawomir Wacewicz, Przemyslaw Zywiczynski and Arkadiusz Jasinski: LANGUAGE EVOLUTION AND LANGUAGE ORIGINS IN TEACHING LINGUISTICS AT THE UNIVERSITY LEVE",24,62,"language evolution and language origins in teaching linguistics at the university leve","Language evolution and language origins in teaching linguistics at the university level",1,"Wacewicz, Zywiczynski, Jasinski","Survey of 14 popular introductions to linguistics. Shows that teaching of language evolution to students of linguistics needs improvement"
"97","Adriano Lameira, Jeremy Kendal and Marco Gamba: CUMULATIVE VOCAL CULTURES IN ORANGUTANS AND THEIR ONTOGENETIC ORIGIN",25,60,"cumulative vocal cultures in orangutans and their ontogenetic origin","Cumulative vocal cultures in orangutans and their ontogenetic origin",0,"Lameira, Kendal, Gamba","CUMULATIVE VOCAL CULTURES IN ORANGUTANS AND THEIR ONTOGENETIC ORIGIN"
"98","Marieke Schouwstra, Kenny Smith and Simon Kirby: FROM NATURAL ORDER TO CONVENTION IN SILENT GESTURE",25,67,"from natural order to convention in silent gesture","From natural order to convention in silent gesture",0,"Schouwstra, Smith, Kirby","Basic word order in silent gesture: initially conditioned semantically, but becomes regular through interaction and iteration"
"99","Piera Filippi, Sebastian Ocklenburg, Dan Bowling, Larissa Heege, Albert Newen, Onur Güntürkün, and Bart de Boer: MULTIMODAL PROCESSING OF EMOTIONAL MEANINGS: A HYPOTHESIS ON THE ADAPTIVE VALUE OF PROSODY",25,90,"multimodal processing of emotional meanings a hypothesis on the adaptive value of prosody","Multimodal processing of emotional meanings:  a hypothesis on the adaptive value of prosody",2,"Filippi, Ocklenburg, Bowling, Heege, Newen, Güntürkün, de Boer","Prosody interferes with emotion word processing, eliciting automatic responses even when conflicting with both verbal content and facial expressions."
"100","￼Luke Mccrohon: BIOLOGICAL SYSTEMS OF INTEREST TO RESEARCHERS OF CULTURAL EVOLUTION",25,194,"biological systems of interest to researchers of cultural evolution","Biological systems of interest to researchers of cultural evolution",0,"Mccrohon","What insights can Jellyfish, prions, Tasmanian devil cancers, air plants and Oxytricha trifallax give us into the evolution of culture?"
"101","Jennifer Culbertson, Simon Kirby and Marieke Schouwstra: WORD ORDER UNIVERSALS REFLECT COGNITIVE BIASES: EVIDENCE FROM SILENT GESTURE",26,39,"word order universals reflect cognitive biases evidence from silent gesture","Word order universals reflect cognitive biases: evidence from silent gesture",1,"Culbertson, Kirby, Schouwstra","word order universals are reflected in the spontaneous gestures of non-signers"
"102","Sverker Johansson: PROTOLANGUAGE POSSIBILITIES IN A CONSTRUCTION GRAMMAR FRAMEWORK",26,149,"protolanguage possibilities in a construction grammar framework","Protolanguage possibilities in a construction grammar framework",0,"Johansson","Construction Grammar is evolvable, and a suitable framework for protolanguages."
"103","Monica Tamariz and Jon W. Carr: WHAT IS UNIQUE ABOUT THE EVOLUTION OF LANGUAGE COMPARED TO OTHER CULTURAL DOMAINS? AN EXPERIMENTAL STUDY OF LANGUAGE, TECHNOLOGY AND ART",26,72,"what is unique about the evolution of language compared to other cultural domains? an experimental study of language, technology and art","What is unique about the evolution of language compared to other cultural domains? an experimental study of language, technology and art",0,"Tamariz, Carr","Comparing cultural evolution in diffusion chains of Lego constructions: linguistic signals, artworks and technological tools"
"104","￼Robert Truswell and Nikolas Gisborne: A CONSTANT RATE EFFECT WITHOUT STABLE FUNCTIONS",26,88,"a constant rate effect without stable functions","A constant rate effect without stable functions",0,"Truswell, Gisborne",""
"105","￼￼￼Lluis Barcelo-Coblijn: EVOLUTION TOWARDS AN OPTIMAL MANAGEMENT OF LINGUISTIC INFORMATION",27,148,"evolution towards an optimal management of linguistic information","Evolution towards an optimal management of linguistic information",0,"Barcelo-Coblijn","Human brains evolved into  small-world networks in order to deal with a huge quantity of linguistic information"
"106","￼￼Willem Zuidema: DEEP LEARNING MODELS OF LANGUAGE PROCESSING AND THE EVOLUTION OF SYNTAX",27,151,"deep learning models of language processing and the evolution of syntax","Deep learning models of language processing and the evolution of syntax",0,"Zuidema",""
"107","￼William Mitchener: HOW SELECTION FOR LANGUAGE COULD DISTORT THE DYNAMICS OF HUMAN EVOLUTION",27,108,"how selection for language could distort the dynamics of human evolution","How selection for language could distort the dynamics of human evolution",0,"Mitchener","A-life simulation shows how the language-faculty gene network might distort the molecular clock"
"108","￼Andrew Wedel and Bodo Winter: LANGUAGES PREFER ROBUST PHONEMES",27,28,"languages prefer robust phonemes","Languages prefer robust phonemes",0,"Wedel, Winter",""
